Country,Property Name,Latitude,Longitude,Connections,Mission,Topics
Austria,Vienna,48.223136,16.356668,US,"The mission of the United States Embassy is to advance the interests of the United States, and to serve and protect U.S. citizens in Austria. The Ambassador is the personal representative of the President of the United States. As the chief advocate of U.S. policy, he or she is supported by personnel from the Department of State and other Washington agencies. The Embassy reports and analyzes developments in Austria of concern to the United States, and advances a broad range of U.S. policy initiatives. The Embassy promotes United States€™ economic and commercial interests, and the export of American agricultural and industrial products and services, and otherwise assists American business, workers and investors. The Embassy engages the government and a broad range of organizations and individuals in Austria to promote shared values. Among others, these include individual freedom, human rights and democracy and the rule of law.","trade, human rights"
Azerbaijan,Baku,40.386995,49.843168,US,"The United States established diplomatic relations with Azerbaijan in 1992, following its independence from the Soviet Union. Together, the two countries work to promote European energy security, expand trade and investment, and combat terrorism and transnational threats. The United States is committed to strengthening democracy and promoting economic diversification in Azerbaijan. The United States supports efforts to peacefully resolve the Nagorno-Karabakh conflict and reopen the closed border with Armenia, and promote regional stability, peace, and prosperity.","energy, trade, terrorism, regional conflict"
"Bahamas, The",Nassau,25.077198,-77.346885,US,"The role of the US Mission is to promote the best relations and communication between the United States of America and The Bahamas. Our embassy in Nassau is the official mission of the U.S. government in The Bahamas. The US Mission to The Bahamas represent the people of the United States, the U.S. Government, the President and his administration's policies. Its officers deal with a variety of topics which unite the two countries, among them political, economic, commercial, military and cultural themes. ","military, economic development, cultural exchange"
Bahrain,Manama,26.204585,50.570891,US,"The mission of the United States Embassy is to advance the interests of the United States, and to serve and protect U.S. citizens in Bahrain.",
Bangladesh,Dhaka,23.796708,90.421981,US,"The United States and Bangladesh share a vision for an inclusive, secure, and prosperous future. Our annual U.S.-Bangladesh Partnership Dialogue helps advance shared bilateral, regional, and global objectives and gives strategic direction to ongoing and future cooperative activities. The sixth U.S.-Bangladesh Partnership Dialogue meeting, held in Dhaka in November 2017, covered a wide variety of topics: democracy and governance, trade and investment, and security cooperation. The delegations worked to deepen cooperation on bilateral, regional and international priorities, including sustainable development, counterterrorism, migration, and climate change. Bangladesh has made significant progress toward a more prosperous and pluralistic society since its independence in 1971. Bangladesh's economic development has grown at 6 percent annually for more than two decades. Since the tragic collapse of the Rana Plaza apparel factory in 2013, Bangladesh has made progress in transforming its garment sector. The United States remains actively engaged in efforts to strengthen respect for labor rights and improve workplace safety. Despite significant development achievements, poverty remains a challenge as do infrastructure shortcomings, weak governance structures, and the need for greater investment in human capital. Bangladesh's high population density compounds these challenges. Extremist violence also presents a common challenge. The United States stands shoulder-to-shoulder with Bangladesh in our effort to defeat extremism.","labor rights, sustainability, trade, terrorism"
Barbados,Bridgetown,13.093158,-59.584893,"Antigua and Barbuda, Barbados, Dominica, Grenada, St. Kitts/Nevis, Saint Lucia, St. Vincent and the Grenadines, US","The mission of the U.S. Mission to Barbados, the Eastern Caribbean, and the OECS is to promote U.S.-Eastern Caribbean relations in sustainable economic growth, good governance, and support of a vibrant civil society. The Embassy maintains foreign relations with seven governments, Antigua and Barbuda, Barbados, Dominica, Grenada, St. Kitts/Nevis, Saint Lucia, St. Vincent and the Grenadines, and seeks those governments' support in multilateral fora, promotes democracy and economic stability in the island states, facilitates the entry of legitimate visitors, and assists U.S. citizens and businesses overseas. The Embassy serves as a platform for other government agencies to conduct business with host governments, and acts on behalf of all other U.S. government agencies engaged in international activities.

","sustainability, governance, democracy"
Belarus,Minsk,53.9,27.566667,US,"The Embassy, headed by the Chief of Mission, does the usual scope of political and economic reporting and advises the U.S. Government on developments in Belarus. Consular services are provided by the Embassy to the Belarusian public and economic entities. The Information Resource Center of the Public Affairs Section is a professionally equipped and staffed facility to fulfil requests of local patrons for information on U.S. legislation, business and American society in general. The Embassy also conducts the U.S. Government's public awareness campaigns. The Democracy Commission has been set up at the Embassy to encourage and sustain the development of independent media, civil society, and the rule of law in Belarus.
",media
Belgium,Brussels,50.844633,4.367318,US,"The mission of the United States Embassy is to advance the interests of the United States, and to serve and protect U.S. citizens in Belgium. The Ambassador is the personal representative of the President of the United States. As the chief advocate of U.S. policy, he is supported by personnel from the Department of State and other Washington agencies. The Embassy reports and analyzes developments in Belgium of concern to the United States, and advances a broad range of U.S. policy initiatives. The Embassy promotes United States' economic and commercial interests, and the export of American agricultural and industrial products and services, and otherwise assists American business, workers and investors. The Embassy engages the government and a broad range of organizations and individuals in Belgium to promote shared values. Among others, these include individual freedom, human rights and democracy and the rule of law.","economic development, agricultural exchange, industry, business, human rights, democracy"
Belize,Belmopan,17.256124,-88.773876,US,"The Embassy of the United States of America serves as the focal point for the U.S. Mission and is the primary federal agency leading foreign relations in Belize on behalf of the U.S. Government. In addition to the various sections of the Embassy, there are also other U.S. Government agencies working in Belize. The art collection in U.S. Embassy, courtesy of the Art in Embassies program, was selected to celebrate the diversity and beauty of nature ,  both of the United States of America and Belize.",art
Benin,Cotonou,6.3625,2.4255,US,"The Embassy in Benin strengthens the bilateral relationship between the two countries on foreign policy, economic affairs, domestic issues, and U.S. society and values. The various sections of the Embassy work together as a team to address the goals of the Mission. The United States Mission led by the Ambassador, Chief of the Mission, works to foster a friendly relationship between the U.S. and Benin for the benefit of both countries.","economic development, foreign policy"
Bermuda,Hamilton,32.295335,-64.768162,US,"U.S. foreign policy seeks the security and prosperity of the American people.  We have a multi-pronged approach to achieving this goal, a key element of which is deepening relationships with our closest allies, including Bermuda.  U.S. Government interests here include protecting American citizens who live, work and visit on the island. In addition, the U.S. Government places a strong emphasis on working with the Government of Bermuda to eliminate money laundering and other illegal financial dealings; providing information and assistance in the fight to eradicate the trafficking, sale and use of illegal narcotics; and encouraging expanded economic ties with the U.S., including an increase in U.S. exports.","security, fraud, trafficking, narcotics, economic development"
Bolivia,La Paz,-16.512823,-68.121585,US,"The U.S. Embassy in La Paz conducts diplomatic relations with the government of Bolivia and strives to strengthen mutual understanding between the people of the U.S. and Bolivia. The U.S. Embassy seeks to promote understanding of the U.S., its society, government, and policies, through cultural and information programs that reach all of Bolivian society.",cultural exchange
Bosnia and Herzegovina,Banja Luka,44.772535,17.185669,US,"The American Embassy in Bosnia and Herzegovina protects and promotes American interests and develops relations with Bosnia and Herzegovina through contacts with B&H government, business, labor, agricultural exchange, media and education leaders. The United States supports Bosnia's NATO and EU membership aspirations and actively encourages the government to implement reforms required to meet Euro-Atlantic institution standards.","government, business, agricultural exchange, labor, media, education, NATO"
Bosnia and Herzegovina,Mostar,43.338418,17.81093,US,"The American Embassy in Bosnia and Herzegovina protects and promotes American interests and develops relations with Bosnia and Herzegovina through contacts with B&H government, business, labor, agricultural exchange, media and education leaders. The United States supports Bosnia's NATO and EU membership aspirations and actively encourages the government to implement reforms required to meet Euro-Atlantic institution standards.","government, business, agricultural exchange, labor, media, education, NATO"
Bosnia and Herzegovina,Sarajevo,43.856203,18.400496,US,"The American Embassy in Bosnia and Herzegovina protects and promotes American interests and develops relations with Bosnia and Herzegovina through contacts with B&H government, business, labor, agricultural exchange, media and education leaders. The United States supports Bosnia's NATO and EU membership aspirations and actively encourages the government to implement reforms required to meet Euro-Atlantic institution standards.","government, business, agricultural exchange, labor, media, education, NATO"
Botswana,Gaborone,-24.65411,25.908739,US,"The Chief of Mission, assisted by members of the Embassy staff, conducts the official business of the Government of the United States of America in Botswana. This includes the negotiation of treaties and agreements, the exchange of information on problem of mutual interests to the two countries, and sending of a flow of information to the United States on various subjects to enable officials and citizens of the United States to understand the attitudes and interests of Botswana. The Chief of Mission also endeavors to make United States policies better known and understood in Botswana. The Embassy of Botswana in Washington D.C., performs similar tasks on behalf of Botswana Government.","treaties, intelligence, politics"
Brazil,Brasilia,-15.804349,-47.872789,US,"The many agencies of the United States Government that constitute the Mission work as a team to advance American interests and promote relations between the American and Brazilian government and people. The U.S. embassy and consulates in Brazil provide a wide range of services to U.S. citizens and business. Political, economic, and science officers deal directly with the Brazilian Government in advancing U.S. interests but also are available to brief U.S. citizens on general conditions in the country. Attachés from the U.S. Commercial Service and Foreign Agricultural exchange Service work closely with hundreds of U.S. companies that maintain offices in Brazil. These officers provide information on Brazilian trade and industry regulations and administer several programs to aid U.S. companies starting or maintaining business ventures in Brazil. The number of trade events and U.S. companies traveling to Brazil to participate in U.S. Commercial Service and Foreign Agricultural exchange Service programs has tripled over the last three years.","economic development, science, trade, industry, business"
Brazil,Porto Alegre,-30.027704,-51.228734,US,"The U.S. Consulate in Porto Alegre General supports engagement with Brazilians living in the south of the country as part of U.S. Mission Brazil's ongoing efforts to strengthen bilateral relations, promote bilateral trade and investment, facilitate travel, protect the well-being of U.S. citizens, foster educational and cultural exchange, and promote economic development.","trade, investment, travel, education, cultural exchange, economic development"
Brazil,Recife,-8.057575,-34.89282,US,"In the 21st century, the United States and Brazil continue to prioritize English education and international academic exchange. With the support of the Consulate, three binational centers form a support network to encourage young Nordestinos to study in the United States. Increased bilateral commerce has also contributed to the steadily increasing wave of travel between the Northeast and the United States. In 2014, the Consulate gave out nearly 100,000 visas, an increase of more than 16% compared to the previous year.  In recent years, the Consulate has increased its consular staff, and installed offices for Foreign Commercial Services and Political and Economic Affairs. Our team at the Consulate General of the United States in Recife proudly celebrates 200 years of friendship and collaboration with the Northeast.","education, commerce"
Brazil,Rio De Janeiro,-22.911709,-43.173827,US,"The Consulate General of the United States of America in Rio de Janeiro was established in November, 1971, when the Embassy was transferred to Brasilia. Headed by a Consul General, the office is responsible for a broad range of consular and commercial functions and for coordination of United States Government activities in its Consular District. The Consular Section has also consular jurisdiction over this region in Brazil. However, most applicants can now apply for a non-immigrant visa at any Consulate or the Embassy in Brazil, regardless of where they live in the Country.",commerce
Brazil,Sao Paulo,-23.62872,-46.697951,US,"The U.S. Consulate General in Sao Paulo, as part of the U.S. Mission in Brazil seeks to protect the well-being of U.S. citizens, represent U.S. interests, promote better bilateral relations, and foster friendship between the people of our two countries.",
Brunei,Bandar Seri Begawan,4.920118,114.956374,US,"The U.S. relationship with Brunei has always been friendly and cooperative, and the level of bilateral engagement has increased significantly in recent years as part of the broader U.S. effort to rebalance to Asia. The relationship dates back to April 6, 1845 when the USS Constitution arrived in Brunei Bay to start more than 170 years of friendly relations. Five years later, we concluded the Treaty of Peace, Friendship, Commerce and Navigation, which is still in effect. These days, our friendship and cooperation is reflected in our military-to-military training and exercises; our work on trade and economic development; our increasing number of educational opportunities; and last but by no means least our many cultural and people-to-people exchange programs.","military, trade, economic development, education, cultural exchange"
Bulgaria,Sofia,42.666854,23.312183,US,"The men and women of the United States Mission to Bulgaria are committed to strengthening the partnership between the United States and Bulgaria.  Using the highest standards of professional excellence and personal integrity, they focus our efforts in three priority areas: security, prosperity, and democracy.","security, NATO, democracy"
Burkina Faso,Ouagadougou,12.304874,-1.497124,US,"Our team at the U.S. Mission in Ouagadougou is working to strengthen the U.S.-Burkina Faso partnership through policies and programs that support Burkina Faso's efforts to build strong democratic institutions, promote economic reform, encourage sustainable development, improve health, and foster regional stability. The U.S. Mission works with all levels of government and society.  The Millennium Challenge Corporation (MCC) has funded a five-year, $480.9 million Compact to reduce poverty through strategic investments in agricultural infrastructure and training, rural land governance, road construction and maintenance, and girls' education.","democracy, economic development, sustainability, health, politics, education"
Burma,Nay Pyi Taw,17.073935,96.171907,US,"The construction of an Embassy Liaison Office (ELO) in Nay Pyi Taw is targeted for completion in 2020 and will initially be staffed with three American officers and 20 local employees.  Through the Embassy Liaison Office in Nay Pyi Taw the U.S. Embassy will continue its work to support a peaceful, prosperous, and democratic Myanmar that respects the human rights of all its people. Once a suitable site is located and acquired we can begin planning for a new embassy compound. Since 2012, the United States government has provided over $950 million to support Myanmar's transition, advance the peacekeeping process, and improve the lives of millions. More than 1.1 million people have improved food security, and over 300,000 small farmers' families have better access to technology, markets and new investments. In 2017 and 2018, the United States provided almost $300 million to address humanitarian needs in Myanmar, including vulnerable communities in Rakhine, Kachin, and Shan States.","peacekeeping, technology, investment, relief"
Burma,Rangoon,16.825802,96.144838,US,"The American people and the United States government have been working to support the people of Burma for decades, as the country worked about to bring about change and progress.  The United States has eased restrictions to allow U.S. companies to responsibly do business in Burma.  President U Htin Kyaw, State Counselor Daw Aung San Suu Kyi, and the people of Burma continue to make significant progress along the path to democracy, and the government has continued to make important economic and political reforms.  The United States wants to see a peaceful, prosperous and democratic Burma in which people live in harmony and enjoy full rights.","business, democracy, politics, economic development, peacekeeping, human rights"
Burundi,Bujumbura,-3.36556,29.379905,US,"The goals of the United States Embassy in Burundi are to help the people of Burundi achieve a just and lasting peace based on democratic principles, to assure the welfare and security of U.S. citizens, to protect human rights, to relieve human suffering, and to encourage the economic policies needed for sustainable and broad-based growth.","peacekeeping, democracy, security, human rights, economic development"
Cabo Verde,Praia,14.921258,-23.506429,US,"The United States established full diplomatic relations with the Republic of Cabo Verde shortly after Cabo Verde achieved independence on July 5, 1975. It has had a resident Embassy in Praia since 1978. The U.S. maintains an Embassy in Cabo Verde to protect U.S. national interests, support democracy and human rights, build close and constructive relations, provide consular services and humanitarian assistance, and increase bilateral trade and people-to-people contacts. One of the more unique aspects of our relations with Cape Verde is the consular section. The population of Cabo Verdean-Americans residing in the U.S. is almost equal to the population of Cabo Verde itself. These family ties, remittances, visits and emigration have an important impact on the work that the Embassy does.","democracy, human rights, trade, humanitarian aid, emigration"
Cambodia,Phnom Penh,11.575077,104.921473,US,"The U.S. Embassy serves as a partner with Cambodia to build mutual understanding between our people and our governments while promoting shared values and interests such as human rights, democracy, development, economic growth and trade.","human rights, democracy, economic development, trade"
Cameroon,Yaounde,3.899973,11.499179,US,"The United States has partnered with Cameroon in several areas, since diplomatic relations where established in 1960. We have partnered with Cameroon to defeat the violent extremism of the Islamic State in West Africa, Boko Haram. We have partnered with Cameroon to provide peacekeepers to the United Nations, to bring stability back to the suffering people of the Central African Republic. We have partnered with Cameroon to defeat pirates in the Gulf of Guinea. We have partnered with Cameroon to fight infectious disease, to eradicate polio, to defeat HIV/AIDS, to build health sector capacity to prevent, detect and respond to virulent pandemics like Ebola or Avian Bird Flu, and to take on the scourge of malaria. We have sponsored people to people programs that have brought Fulbright scholars, International Visitors, and Young African Leaders to America, each of them representing a beautiful thread in the fabric of our bilateral relationship. We have partnered with Cameroonians at all levels to sustain the engagement of peacekeeping Corps Volunteers engaging their new families in a vibrant cultural exchange. We promote private sector investment in Cameroon, like Taylor Guitars and Crelicam, who bring world class technology, create jobs for Cameroonians, and responsibly harvest the riches of Cameroon's wonderful forests.","terrorism, peacekeeping, health, education, cultural exchange, investment, technology"
Canada,Calgary,51.04674,-114.05833,US,"The United States and Canada share two borders and their bilateral relationship is one of the closest and most extensive in the world. It is reflected in the high volume of bilateral trade, some $1.7 billion a day in goods and services, and in people-to-people contact. Almost 400,000 people cross between the countries every day by all modes of transport. In fields ranging from security and law enforcement to environmental protection to free trade, the two countries work closely together on multiple levels, from federal to local. In addition to their close bilateral ties, Canada and the United States cooperate in multilateral fora, including international efforts to combat terrorist financing and money laundering. The two countries belong to a number of the same international organizations, including the United Nations, NATO, WTO, G7, G20, Organization for Security and Cooperation in Europe, Organization for Economic Cooperation and Development, Organization of American States, and Asia-Pacific Economic Cooperation forum.","trade, security, law enforcement, terrorism, money laundering, NATO"
Canada,Halifax,44.651572,-63.575482,US,"The U.S. Consulate General Halifax works to promote economic, cultural, educational, and political cooperation between the United States and Atlantic Canada, provides Consular services for American Citizens, and issues certain classes of non-immigrant visas.","economic development, cultural exchange, politics, education"
Canada,Montreal,45.517814,-73.556743,US,"The first U.S. Consular agency in Montreal was opened on May 29, 1854, by consular agent Canfield Dorwin of Vermont. The office was raised to Consulate General status in July of 1857, when American officials transferred the office of the U.S. Consul General to the British North American Provinces from Quebec City to Montreal, in recognition of Montreal's growing commercial importance. Nearly half of the trade between Canada and the U.S. at the time transited the Port of Montreal. Quebec province previously hosted numerous U.S. consular offices and commercial agencies,  but most of these establishments had been consolidated by 1915. Today, the U.S. government is ably represented in Quebec by Consulate Generals in Montreal and Quebec City.",commerce
Canada,Ottawa,45.427739,-75.695838,US,"The United States and Canada share two borders and their bilateral relationship is one of the closest and most extensive in the world. It is reflected in the high volume of bilateral trade, some $1.7 billion a day in goods and services, and in people-to-people contact. Almost 400,000 people cross between the countries every day by all modes of transport. In fields ranging from security and law enforcement to environmental protection to free trade, the two countries work closely together on multiple levels, from federal to local. In addition to their close bilateral ties, Canada and the United States cooperate in multilateral fora, including international efforts to combat terrorist financing and money laundering. The two countries belong to a number of the same international organizations, including the United Nations, NATO, WTO, G7, G20, Organization for Security and Cooperation in Europe, Organization for Economic Cooperation and Development, Organization of American States, and Asia-Pacific Economic Cooperation forum.","trade, security, law enforcement, terrorism, money laundering, NATO"
Canada,Quebec,45.513399,-73.809585,US,"The United States and Canada share two borders and their bilateral relationship is one of the closest and most extensive in the world. It is reflected in the high volume of bilateral trade, some $1.7 billion a day in goods and services, and in people-to-people contact. Almost 400,000 people cross between the countries every day by all modes of transport. In fields ranging from security and law enforcement to environmental protection to free trade, the two countries work closely together on multiple levels, from federal to local. In addition to their close bilateral ties, Canada and the United States cooperate in multilateral fora, including international efforts to combat terrorist financing and money laundering. The two countries belong to a number of the same international organizations, including the United Nations, NATO, WTO, G7, G20, Organization for Security and Cooperation in Europe, Organization for Economic Cooperation and Development, Organization of American States, and Asia-Pacific Economic Cooperation forum.","trade, security, law enforcement, terrorism, money laundering, NATO"
Canada,Toronto,43.65123,-79.38664,US,"The United States and Canada share two borders and their bilateral relationship is one of the closest and most extensive in the world. It is reflected in the high volume of bilateral trade, some $1.7 billion a day in goods and services, and in people-to-people contact. Almost 400,000 people cross between the countries every day by all modes of transport. In fields ranging from security and law enforcement to environmental protection to free trade, the two countries work closely together on multiple levels, from federal to local. In addition to their close bilateral ties, Canada and the United States cooperate in multilateral fora, including international efforts to combat terrorist financing and money laundering. The two countries belong to a number of the same international organizations, including the United Nations, NATO, WTO, G7, G20, Organization for Security and Cooperation in Europe, Organization for Economic Cooperation and Development, Organization of American States, and Asia-Pacific Economic Cooperation forum.","trade, security, law enforcement, terrorism, money laundering, NATO"
Canada,US ICAO (MONTREAL),45.499735,-73.563415,US,"The U.S. Mission to ICAO is focused on improving the safety, security and sustainability of civil aviation.  To help do this, the U.S. works with ICAO to set internationally-applicable standards in key civil aviation sectors.  ICAO and concerned member-states support efforts to assist developing countries improve their national civil aviation systems and thus meet international standards.",aviation
Canada,Vancouver,49.287347,-123.120303,US,"The United States and Canada share two borders and their bilateral relationship is one of the closest and most extensive in the world. It is reflected in the high volume of bilateral trade, some $1.7 billion a day in goods and services, and in people-to-people contact. Almost 400,000 people cross between the countries every day by all modes of transport. In fields ranging from security and law enforcement to environmental protection to free trade, the two countries work closely together on multiple levels, from federal to local. In addition to their close bilateral ties, Canada and the United States cooperate in multilateral fora, including international efforts to combat terrorist financing and money laundering. The two countries belong to a number of the same international organizations, including the United Nations, NATO, WTO, G7, G20, Organization for Security and Cooperation in Europe, Organization for Economic Cooperation and Development, Organization of American States, and Asia-Pacific Economic Cooperation forum.","trade, security, law enforcement, terrorism, money laundering, NATO"
Canada,Winnipeg,49.895558,-97.138615,US,"The U.S. Consulate in Winnipeg was formally opened by Ambassador Paul Cellucci in December, 2001. Our primary functions are to promote business and trade relationships between the United States and Canada that will facilitate bilateral economic growth, and to work with Manitobans on political and economic issues of mutual interest. The U.S. Consulate in Winnipeg represents the U.S. Government in the Province of Manitoba. The mission is headed by the Consul, who is the senior accredited representative of the U.S. Government in Manitoba.","business, trade, economic development"
Central African Republic,Bangui,4.365724,18.561566,US,"The mission of the United States Embassy is to advance the interests of the United States, and to serve and protect U.S. citizens in Central African Republic.",
Chad,N'Djamena,12.104797,15.044506,US,"The United States established diplomatic relations with Chad in 1960, following its independence from France. Relations between the United States and Chad are strong. Chad is emerging from half a century of regional conflict and internal turmoil and pursuing better governance and development. Chad suffers incursions by armed groups from Nigeria and Libya, and hosted over 470,000 refugees as of May 2020, primarily from Sudan and the Central African Republic. The Chadian Government is taking steps to improve infrastructure and foster stability. The United States continues to encourage Chad to advance good governance.",infrastructure
Chile,Santiago,-33.417054,-70.667666,US,"U.S. Embassy Santiago, proudly representing the American people, works to strengthen democracy, promote economic opportunity, and further the security and prosperity of the United States. The Americans and Chileans who constitute our team come from many agencies and backgrounds, bringing a wealth of experience and skill to this Mission. Using the resources entrusted to us, we lead efforts that bring the U.S. and Chile together in a productive and mutually beneficial partnership.","democracy, economic development, security"
China,Beijing,39.953101,116.460423,US,"The US Embassy in Beijing serves as the bilateral mission between China and the United States, housing more than 20 federal agencies. Diplomatic relations between China and the United States date back to 18th century, which makes China one of the countries in Asia with the longest diplomatic ties to the United States.",
China,Chengdu,30.625047,104.069358,US,"The consulate has sections that focus on political, economic, consular, press and cultural affairs and also includes a full office now for the Foreign Commercial Service and a new Agricultural Trade Office, opened in 2007. The management and security sections support our daily operations.  Each of these sections and the people who staff them are committed to building the relationship with Southwest China in a wide range of areas, including U.S.-China business relations, educational and cultural exchange, agricultural cooperation, and cooperation to solve global challenges that affect the United States and southwest China alike.","politics, economic development, press, cultural exchange, security, agricultural exchange"
China,Guangzhou,23.116372,113.32031,US,"Consulate General Guangzhou officially opened on August 31, 1979, though the United States has had a consular presence in Guangzhou beginning in the late 1700s. The U.S. Consulate General in Guangzhou serves four provinces, Fujian, Guangdong, Guangxi, and Hainan with a combined population exceeding 204 million, with 44 cities of more than a million. The region is transitioning away from labor-intensive light industry toward advanced machine manufacturing and technological innovation.",technology
China,Shanghai,31.209233,121.446934,US,"Situated in the commercial and financial center of China, the U.S. Consulate General in Shanghai includes staff from the Departments of State, Commerce, and Agricultural exchange.  The Consulate General represents the United States in a district that is home to over 217 million people. The Consulate General promotes U.S. policy and greater understanding of American values and views, and informs U.S. officials on developments in Shanghai, as well as the nearby provinces of Zhejiang, Jiangsu, and Anhui, or East China. The Consulate General works to increase U.S. exports to East China, supports market-based reforms and intellectual property rights protection, and facilitates legitimate travel to the U.S. by providing non-immigrant visa services.","commerce, agricultural exchange, exports, markets, intellectual property, travel"
China,Shenyang,41.783483,123.42647,US,"Based in northeast China, the U.S. Consulate General in Shenyang serves a consular district comprised of Liaoning, Jilin and Heilongjiang Provinces. The Consulate works to meet the needs of American citizens and U.S. companies in our district, as well as promote the diplomatic goals of the United States government. The Consulate works in a variety of areas which enhance the relationship between the United States and China, including consular, commercial, economic, political, cultural, and educational themes.","commerce, economic development, politics, cultural exchange, education"
